name	n_hab_planets	n_stars	n_planets	declination	star_temperature	star_metallicity	star_radius	star_age	star_spec_type	star_mass	
EPIC_201565013	0	1	1	+01 30 36.9	3955	-0.42	0.5	NA	NA	0.51	
EPIC_201577035	0	1	1	+01 41 26.29	5553	-0.04	0.88	NA	NA	0.93	
EPIC_201596316	0	1	1	+01 59 12.62	5254	-0.16	0.77	NA	NA	0.83	
EPIC_201613023	0	1	1	+02 14 41.58	5687	-0.06	0.9	NA	NA	0.96	
EPIC_201617985	0	1	1	+02 19 17.31	3681	-0.04	0.48	NA	NA	0.5	
EPIC_201629650	0	1	1	+02 30 09.71	5569	-0.37	0.78	NA	NA	0.83	
EPIC_201635569	0	1	1	+02 35 39.28	3829	-0.31	0.48	NA	NA	0.5	
EPIC_201702477	0	1	1	+03 40 53.7	5551	-0.08	0.87	NA	NA	0.92	
EPIC_201736247	0	1	1	+04 15 17.09	5114	-0.14	0.76	NA	NA	0.8	
EPIC_201754305	0	1	2	+04 33 26.42	4717	-0.35	0.64	NA	NA	0.67	
EPIC_201828749	0	1	1	+05 53 39.56	5437	-0.23	0.8	NA	NA	0.85	
EPIC_201855371	0	1	1	+06 24 44.14	4288	0.01	0.64	NA	NA	0.68	
EPIC_201912552	1	1	1	+07 35 18.21	3503	0.09	0.394	NA	M2.8	0.413	
eps_Corona_Borealis	0	1	1	+26 52 40	4406	-0.094	21	NA	K2 III	1.7	
eps_Eridani	0	1	1	-09 27 29	5116.0	-0.13	0.895	NA	K2 V	0.83	
eps_Tau	0	1	1	+19 10 50	4901.0	0.17	13.7	NA	K0 III	2.7	
eta_Cet	0	1	2	-10 10 56.1570	4528.0	0.12	14.3	NA	K1III	1.7	
FU_Tau	0	1	1	+25 03 03.05	2838.0	NA	NA	NA	M7.25	0.05	
Gamma_Leonis	1	1	1	+19 50 29	4330.0	-0.51	31.88	NA	K0III	1.23	
GJ_160.2	0	1	1	-20 51 11.2391	4347	NA	NA	NA	M0 V	0.69	
GJ_180	1	1	2	-17 46 24.2944	3371	NA	NA	NA	M2 V	0.43	
GJ_27.1	0	1	1	-44 15 11.5985	3542	NA	NA	NA	M0.5 V	0.53	
GJ_422	1	1	1	-57 32 51.5988	3323	NA	NA	NA	M3.5 V	0.35	
GJ_682	1	1	2	-44 19 09.1697	3028	NA	NA	NA	M3.5 V	0.27	
Gliese_1214	0	1	1	+04 57 49.7	3250	0.1	0.2213	NA	M4.5	0.176	
Gliese_163	1	1	3	-53 22 23	NA	NA	NA	5.5	M3.5V	0.40	
Gliese_176	0	1	1	+18 57 29	3520.0	-0.1	0.53	NA	M2.5V	0.49	
Gliese_179	0	1	1	+06 28 36	3370.0	0.3	0.38	NA	M3.5	0.357	
Gliese_221	1	1	2	-05 59 41	4040	-0.07	NA	3	K7V	0.637	
Gliese_317	0	1	2	-23 27 23	3510.0	0.36	NA	NA	M3.5	0.42	
Gliese_328	0	1	1	+01 32 56	3900	0.00	NA	NA	M1	0.69	
Gliese_3293	3	1	3	-25 10 08.9	3466	0.02	0.404	NA	M2.5	0.42	
Gliese_3341	0	1	1	-31 17 46.6	3546	-0.09	0.439	NA	M2.5	0.47	
Gliese_3470	0	1	1	+15 23 30	3652	0.17	0.48		M1.5	0.51	
Gliese_3634	0	1	1	-31 08 39	3314.0	NA	0.43	NA	M2.5	0.45	
Gliese_433	0	1	2	-32 32 24	3600.0	-0.22	NA	NA	M1.5	0.48	
Gliese_436	0	1	2	+26 42 23	3684.0	-0.32	0.464	NA	M2V	0.452	
Gliese_504	0	1	1	+09 25 27	6234	0.28	NA	0.16	G0V	1.22	
Gliese_581	2	1	6	-07 43 20	3498.0	-0.135	0.3	NA	M2.5V	0.31	
Gliese_649	0	1	2	+25 44 39	3700.0	0.08	NA	NA	M1.5	0.54	
Gliese_674	0	1	1	-46 53 43	3600.0	-0.28	NA	NA	M2.5	0.35	
Gliese_687	1	1	1	+68 20 20.9108	3413	NA	0.4183	NA	M3V	0.413	
Gliese_785	1	1	2	-27 01 58	5166.0	-0.04	NA	NA	K3V	0.80	
Gliese_832	1	1	2	-49 00 32	3472	-0.3	NA	NA	M1.5	0.45	
Gliese_849	0	1	2	-04 38 27	3840.0	0.16	0.52	NA	M3.5	0.49	
Gliese_876	2	1	4	-14 15 13	3350.0	0.05	0.3	NA	M4 V	0.32	
GQ_Lup	1	1	1	-35 39 03	5150.0	NA	NA	NA	K7eV	0.7	
GSC_06214-00210	0	1	1	-20 43 07	3840.0	NA	NA	NA	M1	0.6	
GU_Psc	0	1	1	+17 03 56	NA	0.1	NA	0.1	M3	0.325	
HAT-P-11	0	1	1	+48 04 51	4780.0	0.31	0.75	NA	K4	0.81	
HAT-P-12	0	1	1	+43 29 37	4650.0	-0.29	0.7	NA	K5	0.73	
HAT-P-13	1	1	2	+47 21 07	5638.0	0.41	1.56	NA	G4	1.22	
HAT-P-15	0	1	1	+39 27 38	5568.0	0.22	1.08	NA	G5	1.013	
HAT-P-17	0	1	2	+30 29 19	5246.0	NA	0.837	NA	K	0.857	
HAT-P-18	0	1	1	+33 00 45	4870	0.1	0.717	NA	K	0.770	
HAT-P-19	0	1	1	+34 42 42	4990.0	0.23	0.82	NA	K	0.842	
HAT-P-1	0	1	1	+38 40 30	5975.0	0.13	1.115	NA	G0V	1.133	
HAT-P-20	0	1	1	+24 20 11	4595.0	0.35	0.694	NA	K7	0.756	
HAT-P-21	0	1	1	+41 01 41	5588.0	0.01	1.105	NA	G3	0.947	
HAT-P-22	0	1	1	+50 07 42	5302.0	0.24	1.04	NA	G5	0.916	
HAT-P-23	0	1	1	+16 45 44	5905.0	0.15	1.203	NA	G5	1.13	
HAT-P-25	0	1	1	+25 11 51	5500.0	0.31	0.959	NA	G5	1.01	
HAT-P-26	0	1	1	+04 03 36.13	5079.0	-0.04	0.788	NA	K1	0.816	
HAT-P-27	0	1	1	+05 56 50	5300.0	0.14	0.87	3.60	G8	0.92	
HAT-P-28	0	1	1	+34 43 42	5680.0	0.12	1.103	NA	G3	1.025	
HAT-P-29	0	1	1	+51 46 44	6087.0	0.21	1.224	NA	F8	1.207	
HAT-P-2	0	1	1	+41 02 53	6290.0	0.14	1.64	NA	F8	1.36	
HAT-P-31	0	1	1	+26 25 36	6065.0	0.15	1.36	NA	F	1.218	
HAT-P-34	0	1	1	+18 06 18	6442.0	0.22	1.535	NA	F8	1.392	
HAT-P-35	0	1	1	+04 47 13	6096.0	0.11	1.435	NA	F	1.236	
HAT-P-36	0	1	1	+44 54 55	5580.0	0.26	1.096	NA	G	1.022	
HAT-P-37	0	1	1	+51 16 09	5500.0	0.03	0.877	NA	G	0.929	
HAT-P-38	0	1	1	+32 14 47	5330.0	0.06	0.923	NA	G	0.886	
HAT-P-39	0	1	1	+17 49 48	6430.0	0.19	1.625	NA	F	1.404	
HAT-P-3	0	1	1	+48 01 43	5224.0	0.27	0.799	NA	K	0.917	
HAT-P-40	0	1	1	+45 27 27	6080.0	0.22	2.206	NA	F	1.512	
HAT-P-41	0	1	1	+04 40 20	6390.0	0.21	1.683	NA	F	1.418	
HAT-P-42	0	1	1	+06 05 50	5743	0.27	1.528	5.1	G	1.179	
HAT-P-43	0	1	1	+10 12 24	5645	0.23	1.104	5.7	F	1.048	
HAT-P-44	1	1	2	+47 00 53	5295	0.33	0.979	8.9	NA	0.939	
HAT-P-45	0	1	1	-03 22 52	6330	0.07	1.319	2	NA	1.259	
HAT-P-46	0	1	2	-02 58 15	6120	0.3	1.396	2.5	NA	1.284	
HAT-P-49	0	1	1	-26 41 34	6820	0.074	1.833	2.5	NA	1.543	
HAT-P-4	0	1	1	+36 13 47	5890.0	0.24	1.59	NA	F	1.26	
HAT-P-50	0	1	1	+12 08 21.9	6280	-0.180	1.698	3.37	NA	1.273	
HAT-P-51	0	1	1	+32 48 38.8	5449	0.270	1.041	8.2	NA	0.976	
HAT-P-52	0	1	1	+29 01 20.6	5131	0.280	0.893	9.4	NA	0.887	
HAT-P-53	0	1	1	+38 58 05.3	5956	0.000	1.209	4.67	NA	1.093	
HAT-P-54	0	1	1	-25 28 57	4390	-0.127	0.617	3.9	NA	0.645	
HAT-P-5	0	1	1	+36 37 18	5960.0	0.24	1.137	NA	G	1.163	
HAT-P-6	0	1	1	+42 27 58	6570.0	-0.13	1.46	NA	F	1.29	
HAT-P-9	0	1	1	+37 08 26	6350.0	0.12	1.32	NA	F	1.28	
HATS-10	0	1	1	-22 12 16.1	5880	0.15	1.105	3.3	NA	1.101	
HATS-13	0	1	1	-26 05 48.0	5523	0.050	0.887	2.5	NA	0.962	
HATS-14	0	1	1	-25 41 14.4	5346	0.330	0.933	4.9	NA	0.967	
HATS-1	0	1	1	-23 21 17	5870.0	-0.06	1.038	NA	G2V	0.986	
HATS-2	0	1	1	-22 21 46	5227	0.15	0.89	9.7	K	0.88	
HATS-3	0	1	1	-24 25 44	6351	-0.157	1.725	3.1	F	1.300	
HATS-4	0	1	1	-22 32 48.79	5403	0.43	0.925	2.1	NA	1.001	
HATS-5	0	1	1	-21 28 54.90	5304	0.19	0.871	3.6	NA	0.936	
HATS-6	0	1	1	-19 01 54	3724	0.2	0.570	8.1	NA	0.574	
HATS-9	0	1	1	-20 09 58.7	5366	0.340	1.503	10.8	NA	1.030	
HD_100546	0	1	2	-70 11 41	10500	NA	NA	0.005	B9Vne	2.4	
HD_100655	0	1	1	+20 26 30	4861.0	0.15	9.3	NA	G9III	2.4	
HD_100777	1	1	1	-04 45 21	5582.0	0.27	NA	NA	K0	1	
HD_10180	1	1	9	-60 30 42	5911.0	0.08	NA	NA	G1V	1.06	
HD_101930	0	1	1	-58 00 24	5079.0	0.17	NA	NA	K1 V	0.74	
HD_102117	0	1	1	-58 42 13	5672.0	0.3	1.27	NA	G6V	1.03	
HD_102195	0	1	1	+02 49 17	5291.0	0.05	0.835	NA	K0V	0.926	
HD_102272	0	1	2	+14 07 26	4908.0	0.26	10.1	NA	K0	1.9	
HD_102329	0	1	1	+03 28 27	4830.0	0.3	6.3	NA	K0	1.95	
HD_102365	0	1	1	-40 30 01	5650.0	-0.28	NA	NA	G2V	0.85	
HD_102956	0	1	1	+57 38 27	5054.0	0.19	4.4	NA	A	1.68	
HD_103197	0	1	1	-50 17 34	5303.0	0.21	NA	NA	K1V	0.9	
HD_103720	0	1	1	-02 46 44.24	5017	-0.02	0.73	3.8	K3 V	0.794	
HD_103774	0	1	1	-12 06 28	6489	0.28	NA	NA	F5V	1.335	
HD_104067	0	1	1	-20 21 14	4969.0	-0.06	NA	NA	K2V	0.791	
HD_10442	1	1	1	+02 42 15.77	5034	0.11	NA	NA	K2IV	1.56	
HD_104985	0	1	1	+76 54 20	4786.0	-0.35	10.87	NA	G9 III	1.6	
HD_106252	0	1	1	+10 02 29	5754.0	-0.078	1.09	NA	G0	0.96	
HD_106270	0	1	1	-09 30 47	5638.0	0.08	2.5	NA	G5	1.32	
HD_10647	1	1	1	-53 44 27	6039.0	0.0	1.1	1.4	F9V	1.11	
HD_106515_A	0	1	1	-07 15 26	NA	0.03	1.62	11.7	G5	0.97	
HD_106906	0	1	1	-55 58 31.8890	6516	NA	NA	0.013	F5V	1.5	
HD_10697	1	1	1	+20 04 59	5641.0	0.1	1.72	NA	G5 IV	1.15	
HD_107148	0	1	1	-03 19 11	5797.0	0.314	NA	NA	G5	1.12	
HD_108147	0	1	1	-64 01 19	6067.0	0.18	1.22	NA	F8/G0 V	1.19	
HD_108341	0	1	1	-71 25 22.70	5122	0.04	0.79	4.9	K2 V	0.843	
HD_108863	0	1	1	+21 56 54	4956.0	0.20	5.6	NA	K0	1.85	
HD_108874	1	1	2	+22 52 47	5407.0	0.14	1.22	NA	G5	1	
HD_109246	0	1	1	+74 29 22	5844.0	0.1	1.02	NA	G0V	1.01	
HD_109271	0	1	2	-11 37 18	5783	0.10	NA	7.3	G5V	1.047	
HD_110014	0	1	1	-07 59 44	4445.0	0.19	20.9	NA	K2III	2.17	
HD_111232	0	1	1	-68 25 30	5494.0	-0.36	NA	NA	G8V	0.78	
HD_113337	0	1	1	+63 36 37	NA	0.07	1.5	0.150	F6V	1.4	
HD_113538	0	1	2	-52 26 35	4462	-0.24	0.53	4.3	K9V	0.585	
HD_114386	0	1	2	-35 03 17	4819.0	NA	0.76	2.19	K3 V	0.75	
HD_114613	0	1	1	-37 48 10.8901	5729	0.19	NA	NA	G4IV	1.364	
HD_114783	1	1	1	-02 15 54	5105.0	0.33	0.78	NA	K0	0.92	
HD_11506	0	1	2	-19 30 25.11	6058.0	0.31	1.33	NA	G0V	1.19	
HD_116029	1	1	1	+24 38 55	4951.0	0.18	4.6	NA	K1	1.58	
HD_117207	0	1	1	-35 34 15	5432.0	0.27	1.09	NA	G8VI/V	1.07	
HD_117618	1	1	2	-47 16 16	5861.0	0.04	1.19	NA	G2V	1.05	
HD_118203	0	1	1	+53 43 42	5600.0	0.1	NA	NA	K0	1.23	
HD_11977	0	1	1	-67 38 50	4975.0	-0.21	13	NA	G8.5 III	1.91	
HD_120084	1	1	1	+78 03 51	4892	0.09	9.12	NA	G7III	2.4	
HD_121504	0	1	1	-56 02 24	6075.0	0.16	NA	NA	G2 V	1.18	
HD_122430	0	1	1	-27 25 47	4300.0	-0.05	22.9	NA	K3III	1.39	
HD_125595	0	1	1	-40 23 38	4908.0	0.02	NA	NA	K4V	0.756	
HD_125612	1	1	3	-17 28 53	5897.0	0.24	1.05	NA	G3V	1.1	
HD_126525	1	1	1	-51 55 59	5940.0	NA	NA	NA	G4V	NA	
HD_12661	1	1	2	+25 24 51	5742.0	0.29	1.12	NA	G6 V	1.07	
HD_128311	1	1	2	+09 44 47	4965.0	0.08	0.73	NA	K0V	0.828	
HD_129445	0	1	1	-68 45 45	5940.0	0.25	NA	NA	G8V	0.99	
HD_130322	0	1	1	-00 16 53	5330.0	-0.02	0.83	NA	K0 V	0.79	
HD_131496	1	1	1	+18 14 07	4927.0	0.25	4.3	NA	K2	1.61	
HD_131664	0	1	1	-73 32 07.2	5886	0.32	1.16	2.4	G3V	1.10	
HD_13189	0	1	1	+32 18 59	5150.0	NA	50.39	NA	K2 II	4.5	
HD_132406	1	1	1	+53 22 56	5885.0	0.18	NA	NA	G0V	1.09	
HD_134060	0	1	2	-61 25 20	5940.0	NA	NA	NA	G0V	NA	
HD_134606	1	1	3	-70 31 11	5940.0	NA	NA	NA	G6IV	NA	
HD_134987	1	1	2	-25 18 33	5740.0	0.25	1.25	NA	G5 V	1.07	
HD_136352	0	1	3	-48 19 03	5940.0	NA	NA	NA	G4V	NA	
HD_136418	1	1	1	+41 44 00	5071.0	-0.07	3.4	NA	G5	1.33	
HD_137388	1	1	1	-80 12 17	5240.0	0.18	0.82	NA	K0/K1V	0.86	
HD_13808	0	1	2	-53 44 38	5150.0	NA	NA	NA	K2V	NA	
HD_13908	1	1	2	+65 35 39.6988	6255	0.01	1.67	2.9	F8V	1.29	
HD_13931	0	1	1	+43 46 23	5829.0	0.03	1.23	NA	G0	1.02	
HD_139357	1	1	1	+53 55 20	4700.0	-0.13	11.47	NA	K4III	1.35	
HD_141399	1	1	4	+46 59 11	NA	0.18	1.46	NA	K	1.14	
HD_141937	1	1	1	-18 26 09	5925.0	0.11	1.06	NA	G2/G3 V	1.1	
HD_142245	1	1	1	+15 25 50	4878.0	0.23	5.2	NA	A	1.69	
HD_142415	1	1	1	-60 12 00	5834.0	0.21	1.03	NA	G1 V	1.09	
HD_143361	0	1	1	-44 26 04	5940.0	0.29	NA	NA	G0V	0.95	
HD_145377	0	1	1	-27 04 41	6046.0	0.12	1.14	NA	G3V	1.12	
HD_145457	0	1	1	+26 44 34	4757.0	-0.14	9.9	NA	K0	1.9	
HD_145934	1	1	1	+13 14 22.1	NA	NA	5.38	NA	K0	1.748	
HD_1461	0	1	2	-08 03 11	5765.0	0.19	1.095	NA	G0V	1.08	
HD_147018	0	1	2	-61 41 20	5441.0	0.1	NA	NA	G9V	0.927	
HD_148156	1	1	1	-46 19 03	6308.0	0.29	1.21	NA	F8V	1.22	
HD_148427	0	1	1	-13 23 59	5052.0	0.154	3.22	NA	K0IV	1.45	
HD_149026	0	1	1	+38 20 50	6147.0	0.36	1.497	NA	G0IV	1.3	
HD_149143	0	1	1	+02 05 05	5730.0	0.26	NA	NA	G0 IV	1.1	
HD_1502	0	1	1	+14 03 17	5049.0	0.09	4.5	NA	K0	1.61	
HD_150433	0	1	1	-02 51 26	5940.0	NA	NA	NA	G0	NA	
HD_150706	0	1	1	+79 47 23	5741.0	-0.13	0.87	NA	G0	0.94	
HD_152079	0	1	1	-46 19 51	5940.0	0.16	NA	NA	G6V	1.023	
HD_152581	1	1	1	+11 58 25	5155.0	-0.46	2.8	NA	K0	0.927	
HD_153950	1	1	1	-43 18 35	6076.0	-0.01	1.34	NA	F8V	1.12	
HD_154088	0	1	1	-28 34 58	5150.0	NA	NA	NA	K0IV	NA	
HD_154345	0	1	1	+47 04 55	5468.0	-0.105	NA	NA	G8V	0.88	
HD_154672	0	1	1	-56 26 57	5714.0	0.26	1.27	NA	G3IV	1.06	
HD_154857	1	1	2	-56 40 50	5508	-0.31	2.31	NA	G5V	1.718	
HD_155358	2	1	2	+33 21 21	5900.0	-0.51	NA	NA	G0	0.92	
HD_156279	0	1	1	+63 21 08	5453.0	0.14	NA	NA	K0	0.93	
HD_156411	1	1	1	-48 32 58	5900.0	-0.12	2.16	NA	F8IV/V	1.25	
HD_156668	0	1	1	+29 13 38	4850.0	0.05	0.72	NA	K3V	0.772	
HD_157172	0	1	1	-19 36 58	5940.0	NA	NA	NA	G8.5V	NA	
HD_158038	0	1	1	+27 18 12	4897.0	0.28	4.8	NA	K0	1.65	
HD_159243	0	1	2	+05 42 02.6391	6123	0.05	1.12	1.25	G0V	1.125	
HD_159868	2	1	2	-43 08 44	5395.0	NA	NA	NA	G5V	1.09	
HD_1605	2	1	2	+30 58 29.2948	4757	0.21	3.8	4.59	K1IV	1.31	
HD_16175	1	1	1	+42 03 45	6000.0	0.23	1.87	NA	G0	1.35	
HD_162020	0	1	1	-40 19 06	4830.0	0.01	0.71	NA	K2 V	0.75	
HD_163607	0	1	2	+56 23 31	5543.0	0.21	1.63	NA	G5IV	1.09	
HD_16417	0	1	1	-34 34 41	5936.0	0.19	NA	NA	G1V	1.18	
HD_164509	1	1	1	+00 06 16	5922.0	0.21	1.06	NA	G5V	1.13	
HD_164604	1	1	1	-28 33 38	5150.0	-0.18	NA	NA	K2V	0.8	
HD_164922	0	1	1	+26 18 46	5385.0	0.17	0.9	NA	K0V	0.94	
HD_1666	0	1	1	-19 55 52.4083	6317	0.37	1.93	1.76	F7V	1.50	
HD_166724	0	1	1	-42 34 31	5150.0	-0.09	NA	4.0	K0IV	0.81	
HD_167042	0	1	1	+54 17 12	5020.0	0.05	4.3	NA	K1III	1.64	
HD_168443	0	1	2	-09 35 34	5591.0	0.04	1.51	NA	G5	0.995	
HD_168746	0	1	1	-11 55 21	5610.0	-0.06	1.12	NA	G5	0.88	
HD_1690	1	1	1	-08 16 52	4393.0	-0.32	16.7	NA	K1III	1.09	
HD_169830	1	1	2	-29 49 00	6300	0.21	1.84	2.3	F8 V	1.4	
HD_170469	1	1	1	+11 41 44	5810.0	0.3	1.22	NA	G5IV	1.14	
HD_17092	0	1	1	+49 39 11	4650.0	0.18	NA	NA	K0III	2.3	
HD_171028	1	1	1	+06 56 45	5663.0	-0.49	1.95	NA	G0	0.99	
HD_171238	0	1	1	-28 04 20	5467.0	0.17	NA	NA	KOV	0.943	
HD_17156	0	1	1	+71 45 12	6079.0	0.24	1.508	NA	G0V	1.275	
HD_173416	0	1	1	+36 33 24	4683.0	NA	13.5	NA	G8	2	
HD_175167	0	1	1	-69 56 39	5940.0	0.19	NA	NA	G5 IV/V	1.102	
HD_175541	0	1	1	+04 15 55	5060.0	-0.07	3.85	NA	G8IV	1.65	
